Tissue	Target?	z-score	GSM
blood	All Non-Target Tissues	0.5604426246061576	GSM253724
blood	All Non-Target Tissues	-0.9558716991025521	GSM253724
blood	All Non-Target Tissues	-0.10721834502924243	GSM253724
blood	All Non-Target Tissues	-0.8610827730595693	GSM253724
blood	Target Tissue	-1.650861499077863	GSM253674
blood	All Non-Target Tissues	0.2673785107711992	GSM253674
blood	All Non-Target Tissues	0.48138999064644505	GSM253674
blood	All Non-Target Tissues	0.27480490356343995	GSM253674
blood	All Non-Target Tissues	-0.9650276240782507	GSM253674
blood	All Non-Target Tissues	0.24763931923546667	GSM253674
blood	Target Tissue	0.2715432997711371	GSM253705
blood	All Non-Target Tissues	-0.2559857075685927	GSM253705
blood	All Non-Target Tissues	-0.43262958220900005	GSM253705
blood	All Non-Target Tissues	-0.14146153216927995	GSM253705
blood	All Non-Target Tissues	-1.0329204438438968	GSM253705
blood	All Non-Target Tissues	0.17221029525727674	GSM253705
blood	Target Tissue	-2.1527006382111815	GSM253702
blood	All Non-Target Tissues	0.8220848276135185	GSM253702
blood	All Non-Target Tissues	-0.7868991600071574	GSM253702
blood	All Non-Target Tissues	0.08898903701413452	GSM253702
blood	All Non-Target Tissues	-4.6344465794989285	GSM253702
blood	All Non-Target Tissues	0.5399229514597962	GSM253702
blood	Target Tissue	11.530429276458461	GSM253706
blood	All Non-Target Tissues	0.09330552381637854	GSM253706
blood	All Non-Target Tissues	0.11456359149617032	GSM253706
blood	All Non-Target Tissues	-0.22604821373693884	GSM253706
blood	All Non-Target Tissues	-0.20752357035338723	GSM253706
blood	All Non-Target Tissues	0.17592600543666012	GSM253706
blood	Target Tissue	2.164864501556111	GSM253672
blood	All Non-Target Tissues	0.10784452646694066	GSM253672
blood	All Non-Target Tissues	1.2124540627178029	GSM253672
blood	All Non-Target Tissues	0.3227933260972127	GSM253672
blood	All Non-Target Tissues	-0.9415977519037375	GSM253672
blood	All Non-Target Tissues	0.09911379188658936	GSM253672
blood	Target Tissue	-0.8193462451370155	GSM253678
blood	All Non-Target Tissues	0.2823530623618174	GSM253678
blood	All Non-Target Tissues	-0.3969755022525569	GSM253678
blood	All Non-Target Tissues	-0.022514686303947727	GSM253678
blood	All Non-Target Tissues	-1.2399555578671795	GSM253678
blood	All Non-Target Tissues	1.072152548621803	GSM253678
blood	Target Tissue	1.6465413397789919	GSM253691
blood	All Non-Target Tissues	-0.5294515442097263	GSM253691
blood	All Non-Target Tissues	-0.005056157966045904	GSM253691
blood	All Non-Target Tissues	-0.09071304408153794	GSM253691
blood	All Non-Target Tissues	-0.6748680207614841	GSM253691
blood	All Non-Target Tissues	0.03488934132924672	GSM253691
blood	Target Tissue	-2.0848094687001812	GSM253718
blood	All Non-Target Tissues	0.8659316297052712	GSM253718
blood	All Non-Target Tissues	0.9210911179823638	GSM253718
blood	All Non-Target Tissues	0.15989617379472998	GSM253718
blood	All Non-Target Tissues	-0.8815393674432528	GSM253718
blood	All Non-Target Tissues	-0.7119292210315915	GSM253718
blood	Target Tissue	2.929827314560864	GSM253670
blood	All Non-Target Tissues	-0.42255387518080145	GSM253670
blood	All Non-Target Tissues	0.29091510283559174	GSM253670
blood	All Non-Target Tissues	0.42349375641772335	GSM253670
blood	All Non-Target Tissues	-1.134642593378724	GSM253670
blood	All Non-Target Tissues	0.8763873700577767	GSM253670
blood	Target Tissue	-0.7753318019677858	GSM253719
blood	All Non-Target Tissues	-0.12053829105406352	GSM253719
blood	All Non-Target Tissues	0.6463324453315117	GSM253719
blood	All Non-Target Tissues	0.5162387595398569	GSM253719
blood	All Non-Target Tissues	-1.737838513127194	GSM253719
blood	All Non-Target Tissues	-0.39826498519912396	GSM253719
blood	Target Tissue	-0.17654730641223604	GSM253712
blood	All Non-Target Tissues	0.2524817470518396	GSM253712
blood	All Non-Target Tissues	-0.5581256972956111	GSM253712
blood	All Non-Target Tissues	0.1737470036069234	GSM253712
blood	All Non-Target Tissues	-1.347750753813086	GSM253712
blood	All Non-Target Tissues	-0.6057032181473887	GSM253712
blood	Target Tissue	0.8767955687205419	GSM253728
blood	All Non-Target Tissues	-1.1083340427233417	GSM253728
blood	All Non-Target Tissues	0.16693968919614363	GSM253728
blood	All Non-Target Tissues	1.4489163469757163	GSM253728
blood	All Non-Target Tissues	-0.45140453944911363	GSM253728
blood	All Non-Target Tissues	-0.06183694499332269	GSM253728
blood	Target Tissue	-6.117981853667511	GSM253698
blood	All Non-Target Tissues	-0.8299968186350798	GSM253698
blood	All Non-Target Tissues	-0.48977613858599206	GSM253698
blood	All Non-Target Tissues	0.3075641041528807	GSM253698
blood	All Non-Target Tissues	-0.15049264538378132	GSM253698
blood	All Non-Target Tissues	-0.3983817121702221	GSM253698
blood	Target Tissue	1.5782132808500848	GSM253707
blood	All Non-Target Tissues	0.053163401569587904	GSM253707
blood	All Non-Target Tissues	-0.06177391825300049	GSM253707
blood	All Non-Target Tissues	-0.1915467678597587	GSM253707
blood	All Non-Target Tissues	-0.3206025652142524	GSM253707
blood	All Non-Target Tissues	-0.14153091317990585	GSM253707
blood	Target Tissue	3.880641338505475	GSM253729
blood	All Non-Target Tissues	-0.2430996357096753	GSM253729
blood	All Non-Target Tissues	-0.08504602091859831	GSM253729
blood	All Non-Target Tissues	0.3480182374798428	GSM253729
blood	All Non-Target Tissues	0.18535745328155856	GSM253729
blood	All Non-Target Tissues	-0.6220299617875615	GSM253729
blood	Target Tissue	11.035322275216181	GSM253716
blood	All Non-Target Tissues	0.6476655146386315	GSM253716
blood	All Non-Target Tissues	-0.05888136879823318	GSM253716
blood	All Non-Target Tissues	-0.9493503585878671	GSM253716
blood	All Non-Target Tissues	-1.9322138622315759	GSM253716
blood	All Non-Target Tissues	-0.30233164603315243	GSM253716
blood	Target Tissue	8.120019647991853	GSM253694
blood	All Non-Target Tissues	0.3070307365024426	GSM253694
blood	All Non-Target Tissues	0.4400850593835626	GSM253694
blood	All Non-Target Tissues	-0.04135466319791706	GSM253694
blood	All Non-Target Tissues	-1.4805616096859777	GSM253694
blood	All Non-Target Tissues	-0.10088429421272845	GSM253694
blood	Target Tissue	-0.8752597520062378	GSM253675
blood	All Non-Target Tissues	-0.603720750398049	GSM253675
blood	All Non-Target Tissues	-0.6208344950548007	GSM253675
blood	All Non-Target Tissues	0.4013110474823878	GSM253675
blood	All Non-Target Tissues	-1.0301781495477023	GSM253675
blood	All Non-Target Tissues	-0.26225302927823896	GSM253675
blood	Target Tissue	2.0171719054919945	GSM253697
blood	All Non-Target Tissues	-0.4548990720174859	GSM253697
blood	All Non-Target Tissues	0.09585586076831545	GSM253697
blood	All Non-Target Tissues	0.02669554876544888	GSM253697
blood	All Non-Target Tissues	-1.3179064926156332	GSM253697
blood	All Non-Target Tissues	-0.15034788762559667	GSM253697
blood	Target Tissue	-0.33044595235453855	GSM253727
blood	All Non-Target Tissues	-0.17036026473075178	GSM253727
blood	All Non-Target Tissues	-0.6229994854213143	GSM253727
blood	All Non-Target Tissues	-0.5177342615763748	GSM253727
blood	All Non-Target Tissues	-2.8735309643322546	GSM253727
blood	All Non-Target Tissues	-0.47927782034562266	GSM253727
blood	Target Tissue	-2.442461938336764	GSM253701
blood	All Non-Target Tissues	-0.1451123152565277	GSM253701
blood	All Non-Target Tissues	-0.8510455728325703	GSM253701
blood	All Non-Target Tissues	0.28972876209086595	GSM253701
blood	All Non-Target Tissues	-2.676849962868988	GSM253701
blood	All Non-Target Tissues	0.35910870696499575	GSM253701
blood	Target Tissue	-1.5847133923630492	GSM253677
blood	All Non-Target Tissues	-0.27233723466652604	GSM253677
blood	All Non-Target Tissues	-0.2799255072818368	GSM253677
blood	All Non-Target Tissues	0.7654233056373525	GSM253677
blood	All Non-Target Tissues	-1.8429409470637783	GSM253677
blood	All Non-Target Tissues	-0.5702314546365234	GSM253677
blood	Target Tissue	-2.7339327242402462	GSM253679
blood	All Non-Target Tissues	-0.12792376868949856	GSM253679
blood	All Non-Target Tissues	-0.6996675564274827	GSM253679
blood	All Non-Target Tissues	-0.8177168006402721	GSM253679
blood	All Non-Target Tissues	-2.134655852834032	GSM253679
blood	All Non-Target Tissues	0.70582618489774	GSM253679
blood	Target Tissue	-0.11667055641691407	GSM253709
blood	All Non-Target Tissues	0.5825456389324523	GSM253709
blood	All Non-Target Tissues	0.6683970945707819	GSM253709
blood	All Non-Target Tissues	1.0707925606234603	GSM253709
blood	All Non-Target Tissues	0.1325858947092814	GSM253709
blood	All Non-Target Tissues	-1.08046255235918	GSM253709
blood	Target Tissue	-1.6901010372459773	GSM253699
blood	All Non-Target Tissues	-0.5122140881180793	GSM253699
blood	All Non-Target Tissues	2.359687258158671	GSM253699
blood	All Non-Target Tissues	0.449452245404577	GSM253699
blood	All Non-Target Tissues	-0.9473609309561789	GSM253699
blood	All Non-Target Tissues	-0.25234117047646365	GSM253699
blood	Target Tissue	-1.5589943900423406	GSM253693
blood	All Non-Target Tissues	-0.08478762257171746	GSM253693
blood	All Non-Target Tissues	-0.18391847146588178	GSM253693
blood	All Non-Target Tissues	-0.5783757508306034	GSM253693
blood	All Non-Target Tissues	-0.9754026843941942	GSM253693
blood	All Non-Target Tissues	0.24736367854038732	GSM253693
blood	Target Tissue	0.45021074698229147	GSM253696
blood	All Non-Target Tissues	-0.35716259901861436	GSM253696
blood	All Non-Target Tissues	0.2847716122067984	GSM253696
blood	All Non-Target Tissues	-0.012510409087666556	GSM253696
blood	All Non-Target Tissues	-0.4750729409190126	GSM253696
blood	All Non-Target Tissues	-0.1146171872293429	GSM253696
blood	Target Tissue	1.8739731643368678	GSM253673
blood	All Non-Target Tissues	-0.5721090847566523	GSM253673
blood	All Non-Target Tissues	1.705680464587115	GSM253673
blood	All Non-Target Tissues	0.5278146937647398	GSM253673
blood	All Non-Target Tissues	-0.4752620206128566	GSM253673
blood	All Non-Target Tissues	0.29991169804790657	GSM253673
blood	Target Tissue	0.7056601150414222	GSM253690
blood	All Non-Target Tissues	-0.4523060979113945	GSM253690
blood	All Non-Target Tissues	0.950345668976323	GSM253690
blood	All Non-Target Tissues	0.3025444855014304	GSM253690
blood	All Non-Target Tissues	-1.3543909229123945	GSM253690
blood	All Non-Target Tissues	-0.09351627699490399	GSM253690
blood	Target Tissue	6.882334179073492	GSM253711
blood	All Non-Target Tissues	0.15206314469288693	GSM253711
blood	All Non-Target Tissues	-0.4461390088797232	GSM253711
blood	All Non-Target Tissues	-0.06049018834546375	GSM253711
blood	All Non-Target Tissues	-1.1850357813703696	GSM253711
blood	All Non-Target Tissues	0.5414765991956784	GSM253711
blood	Target Tissue	3.4314519695092076	GSM253725
blood	All Non-Target Tissues	0.020927463708203958	GSM253725
blood	All Non-Target Tissues	0.45275317410225036	GSM253725
blood	All Non-Target Tissues	0.16678911601314714	GSM253725
blood	All Non-Target Tissues	-3.0600109080867433	GSM253725
blood	All Non-Target Tissues	-0.3554817424022654	GSM253725
blood	Target Tissue	-0.4574090402263719	GSM253710
blood	All Non-Target Tissues	-0.18998901467332444	GSM253710
blood	All Non-Target Tissues	-0.5433246005395648	GSM253710
blood	All Non-Target Tissues	-0.21090001165573277	GSM253710
blood	All Non-Target Tissues	-1.2405346845870964	GSM253710
blood	All Non-Target Tissues	0.04555366470147247	GSM253710
blood	Target Tissue	4.4755165032708195	GSM253715
blood	All Non-Target Tissues	-0.19133400277730245	GSM253715
blood	All Non-Target Tissues	-0.3919365271859068	GSM253715
blood	All Non-Target Tissues	-0.5552628878277981	GSM253715
blood	All Non-Target Tissues	-0.28152291082892267	GSM253715
blood	All Non-Target Tissues	-1.4023082461531717	GSM253715
blood	Target Tissue	3.612372032765518	GSM253717
blood	All Non-Target Tissues	0.06999283719024192	GSM253717
blood	All Non-Target Tissues	-0.0981133316444744	GSM253717
blood	All Non-Target Tissues	0.14490293509638405	GSM253717
blood	All Non-Target Tissues	-3.2168399432831163	GSM253717
blood	All Non-Target Tissues	0.5478501240438591	GSM253717
blood	Target Tissue	0.48509781774961414	GSM253700
blood	All Non-Target Tissues	-0.5465646845341037	GSM253700
blood	All Non-Target Tissues	0.5581903762866608	GSM253700
blood	All Non-Target Tissues	-0.8456613826095029	GSM253700
blood	All Non-Target Tissues	-1.4391775120664463	GSM253700
blood	All Non-Target Tissues	-0.39152518457197516	GSM253700
blood	Target Tissue	1.3404670967010537	GSM253692
blood	All Non-Target Tissues	-0.12136214886335606	GSM253692
blood	All Non-Target Tissues	-0.005968696106345171	GSM253692
blood	All Non-Target Tissues	0.2709247933897379	GSM253692
blood	All Non-Target Tissues	0.0041882185757196695	GSM253692
blood	All Non-Target Tissues	-0.9799395737420568	GSM253692
blood	Target Tissue	5.547534286089566	GSM253723
blood	All Non-Target Tissues	-0.17518097704434568	GSM253723
blood	All Non-Target Tissues	-0.6226461798272603	GSM253723
blood	All Non-Target Tissues	-0.39223638909518943	GSM253723
blood	All Non-Target Tissues	-1.657936664517409	GSM253723
blood	All Non-Target Tissues	-0.24191320772568592	GSM253723
blood	Target Tissue	1.7424103876212338	GSM253720
blood	All Non-Target Tissues	0.6147417567544413	GSM253720
blood	All Non-Target Tissues	0.46541506802778687	GSM253720
blood	All Non-Target Tissues	-0.5390594945296141	GSM253720
blood	All Non-Target Tissues	-1.7459882308447523	GSM253720
blood	All Non-Target Tissues	-0.3826656445427478	GSM253720
blood	Target Tissue	-0.7251708602062585	GSM253676
blood	All Non-Target Tissues	-0.6146789044710846	GSM253676
blood	All Non-Target Tissues	1.1896880181187295	GSM253676
blood	All Non-Target Tissues	0.5753471087734416	GSM253676
blood	All Non-Target Tissues	-1.5748077184722251	GSM253676
blood	All Non-Target Tissues	-0.08668217526071768	GSM253676
blood	Target Tissue	-0.1512641173126589	GSM253714
blood	All Non-Target Tissues	0.3775123368002259	GSM253714
blood	All Non-Target Tissues	-0.028988077136079166	GSM253714
blood	All Non-Target Tissues	0.39350383847359327	GSM253714
blood	All Non-Target Tissues	-1.04965899769735	GSM253714
blood	All Non-Target Tissues	0.18987287398095665	GSM253714
blood	Target Tissue	-3.5692646666442314	GSM253722
blood	All Non-Target Tissues	-0.8023677646996328	GSM253722
blood	All Non-Target Tissues	0.6921695148396164	GSM253722
blood	All Non-Target Tissues	0.9993736103477588	GSM253722
blood	All Non-Target Tissues	-0.8916592508306289	GSM253722
blood	All Non-Target Tissues	-0.918224504180395	GSM253722
blood	Target Tissue	-0.9214818708691996	GSM280224
blood	All Non-Target Tissues	0.481660749169859	GSM280224
blood	All Non-Target Tissues	-0.8212944664226399	GSM280224
blood	All Non-Target Tissues	-0.8931364165581966	GSM280224
blood	All Non-Target Tissues	-0.7398432104539692	GSM280224
blood	All Non-Target Tissues	0.18498626373139393	GSM280224
blood	Target Tissue	-0.3714436606381847	GSM280213
blood	All Non-Target Tissues	-0.15400004358090547	GSM280213
blood	All Non-Target Tissues	-0.5510654136240412	GSM280213
blood	All Non-Target Tissues	-0.21516978571948156	GSM280213
blood	All Non-Target Tissues	-0.29581179329493446	GSM280213
blood	All Non-Target Tissues	-0.15540521970905893	GSM280213
blood	Target Tissue	-0.43942849748292995	GSM280220
blood	All Non-Target Tissues	0.742331752368844	GSM280220
blood	All Non-Target Tissues	-0.08455391952438739	GSM280220
blood	All Non-Target Tissues	-0.14357962047817435	GSM280220
blood	All Non-Target Tissues	-0.5145932644226865	GSM280220
blood	All Non-Target Tissues	0.38326608605853774	GSM280220
blood	Target Tissue	-0.5858359787039288	GSM280223
blood	All Non-Target Tissues	0.2624585446806201	GSM280223
blood	All Non-Target Tissues	-0.5201337758817111	GSM280223
blood	All Non-Target Tissues	-0.7773766333045548	GSM280223
blood	All Non-Target Tissues	0.27632305061373924	GSM280223
blood	All Non-Target Tissues	0.038478628272705755	GSM280223
blood	Target Tissue	-1.3685243358868933	GSM280217
blood	All Non-Target Tissues	-0.2856139767144152	GSM280217
