GeneID	GPL
10461	GPL570
10462	GPL570
10463	GPL570
10464	GPL570
10465	GPL570
10466	GPL570
10467	GPL570
10468	GPL570
10469	GPL570
1046	GPL570
10471	GPL570
10472	GPL570
10473	GPL570
10474	GPL570
10475	GPL570
10478	GPL570
10479	GPL570
1047	GPL570
10480	GPL570
10481	GPL570
10482	GPL570
10483	GPL570
10484	GPL570
10485	GPL570
10486	GPL570
10487	GPL570
10488	GPL570
10489	GPL570
1048	GPL570
10490	GPL570
10491	GPL570
10492	GPL570
10493	GPL570
10494	GPL570
10495	GPL570
10497	GPL570
10498	GPL570
10499	GPL570
104	GPL570
10500	GPL570
10501	GPL570
10505	GPL570
10507	GPL570
1050	GPL570
10512	GPL570
10513	GPL570
10514	GPL570
10516	GPL570
10518	GPL570
10519	GPL570
1051	GPL570
10520	GPL570
10521	GPL570
10522	GPL570
10523	GPL570
10524	GPL570
10525	GPL570
10526	GPL570
10527	GPL570
10528	GPL570
10529	GPL570
1052	GPL570
10531	GPL570
10533	GPL570
10534	GPL570
10535	GPL570
10536	GPL570
10537	GPL570
10538	GPL570
10539	GPL570
1053	GPL570
10540	GPL570
10541	GPL570
10542	GPL570
10544	GPL570
10548	GPL570
10549	GPL570
1054	GPL570
10550	GPL570
10551	GPL570
10552	GPL570
10553	GPL570
10554	GPL570
10555	GPL570
10556	GPL570
10557	GPL570
10558	GPL570
10559	GPL570
10560	GPL570
10561	GPL570
10562	GPL570
10563	GPL570
10564	GPL570
10565	GPL570
10566	GPL570
10567	GPL570
10568	GPL570
1056	GPL570
10570	GPL570
10572	GPL570
10573	GPL570
10574	GPL570
10575	GPL570
10576	GPL570
10577	GPL570
10578	GPL570
10579	GPL570
10580	GPL570
10581	GPL570
10584	GPL570
10585	GPL570
10586	GPL570
10587	GPL570
10589	GPL570
1058	GPL570
10590	GPL570
10591	GPL570
10592	GPL570
10594	GPL570
10595	GPL570
10598	GPL570
10599	GPL570
1059	GPL570
105	GPL570
10600	GPL570
10602	GPL570
10603	GPL570
10606	GPL570
10607	GPL570
10608	GPL570
10609	GPL570
1060	GPL570
10610	GPL570
10611	GPL570
10612	GPL570
10613	GPL570
10614	GPL570
10615	GPL570
10616	GPL570
10617	GPL570
10618	GPL570
10621	GPL570
10622	GPL570
10623	GPL570
10625	GPL570
10627	GPL570
10628	GPL570
10629	GPL570
1062	GPL570
10630	GPL570
10631	GPL570
10632	GPL570
10633	GPL570
10634	GPL570
10635	GPL570
10636	GPL570
10637	GPL570
1063	GPL570
10640	GPL570
10641	GPL570
10643	GPL570
10645	GPL570
10647	GPL570
10648	GPL570
10650	GPL570
10651	GPL570
10652	GPL570
10653	GPL570
10654	GPL570
10656	GPL570
10657	GPL570
10658	GPL570
10659	GPL570
10660	GPL570
10661	GPL570
10663	GPL570
10664	GPL570
10665	GPL570
10666	GPL570
10667	GPL570
10668	GPL570
10669	GPL570
10670	GPL570
10671	GPL570
10672	GPL570
10675	GPL570
10677	GPL570
10678	GPL570
10681	GPL570
10682	GPL570
10683	GPL570
10686	GPL570
10687	GPL570
1068	GPL570
10690	GPL570
10691	GPL570
10692	GPL570
10693	GPL570
10694	GPL570
10695	GPL570
10699	GPL570
1069	GPL570
1070	GPL570
10712	GPL570
10713	GPL570
10714	GPL570
10716	GPL570
1071	GPL570
10721	GPL570
10723	GPL570
10724	GPL570
10725	GPL570
10726	GPL570
10728	GPL570
10730	GPL570
10732	GPL570
10733	GPL570
10734	GPL570
10735	GPL570
10736	GPL570
10737	GPL570
10738	GPL570
10739	GPL570
10741	GPL570
