GSM478457_Beta	GSM478457_GSM	GSM478457_GSE	GSM664048_Beta	GSM664048_GSM	GSM664048_GSE	GSM4005_Beta	GSM4005_GSM	GSM4005_GSE
0.011412	GSM400066	GSE15947	0.020204	GSM687018	GSE27830,GSE54219	0.013113	GSM1071104	GSE43777
0.011106	GSM679230	GSE27489,GSE27554	0.019750	GSM728675	GSE29431	0.012606	GSM253667	GSE10041
0.011056	GSM997877	GSE40611	0.018853	GSM272211	GSE10780	0.012575	GSM342821	GSE13070
0.011011	GSM534100	GSE21374	0.018790	GSM194424	GSE7904	0.012402	GSM80749	GSE3526
0.010886	GSM996770	GSE40567	0.018295	GSM457226	GSE18313	0.012276	GSM876848	GSE35864
0.010831	GSM388094	GSE15471	0.017851	GSM997874	GSE40611	0.011688	GSM753625	GSE30174
0.010639	GSM229052	GSE9031	0.017255	GSM80632	GSE3526	0.011361	GSM342644	GSE13070
0.010427	GSM491222	GSE19615	0.016875	GSM969459	GSE39452,GSE39461	0.010664	GSM304264	GSE12034
0.010166	GSM388095	GSE15471	0.016604	GSM579975	GSE23640	0.010073	GSM980230	GSE39840
0.009744	GSM491371	GSE19681	0.016480	GSM342836	GSE13070	0.009305	GSM350588	GSE14001
0.009738	GSM215810	GSE8717	0.016362	GSM125047	GSE5460	0.008889	GSM753605	GSE30174
0.009604	GSM967641	GSE39409	0.015990	GSM124996	GSE5460	0.008435	GSM272217	GSE10780
0.009254	GSM986548	GSE40160	0.015891	GSM533894	GSE21369,GSE21411	0.008366	GSM158482	GSE6872,GSE6969
0.008919	GSM199304	GSE8052	0.015814	GSM46903	GSE2109	0.007792	GSM949790	GSE38494
0.008905	GSM150214	GSE6364	0.015772	GSM117731	GSE2109	0.007364	GSM417986	GSE16655,GSE16677
0.008601	GSM333440	GSE13205	0.015770	GSM1186568	GSE48906	0.006948	GSM997868	GSE40611
0.008505	GSM306774	GSE12187	0.015766	GSM1045309	GSE42568	0.006358	GSM472074	GSE19069
0.008269	GSM305439	GSE12108	0.015679	GSM125035	GSE5460	0.006317	GSM89101	GSE2109
0.008211	GSM335595	GSE13294	0.015141	GSM816558	GSE32967,GSE33054	0.006035	GSM80587	GSE3526
0.007904	GSM924993	GSE37645	0.014743	GSM997877	GSE40611	0.005663	GSM80800	GSE3526
0.007880	GSM125080	GSE5460	0.014578	GSM491211	GSE19615	0.005614	GSM788305	GSE31773
0.007344	GSM125047	GSE5460	0.014390	GSM547770	GSE22035	0.005580	GSM775960	GSE31311
0.006894	GSM280865	GSE11135	0.014264	GSM431152	GSE17183	0.005168	GSM350605	GSE14001
0.006658	GSM368591	GSE14879	0.014210	GSM125060	GSE5460	0.005124	GSM150214	GSE6364
0.006462	GSM491376	GSE19681	0.014124	GSM138041	GSE2109	0.004994	GSM312907	GSE12452
0.005979	GSM175959	GSE7307	0.014092	GSM330518	GSE13159,GSE13204	0.004851	GSM304265	GSE12034
0.005520	GSM627163	GSE25507	0.013985	GSM152569	GSE2109	0.004694	GSM491374	GSE19681
0.004928	GSM305501	GSE12113	0.013358	GSM700746	GSE28335,GSE33728	0.004343	GSM80751	GSE3526
0.004814	GSM331322	GSE13159,GSE13204	0.013208	GSM491251	GSE19615	0.004060	GSM787279	GSE31048
0.004570	GSM155013	GSE6800,GSE6803	0.013168	GSM573432	GSE23376	0.003935	GSM491376	GSE19681
0.004223	GSM718404	GSE28995	0.012863	GSM1123817	GSE46106	0.003892	GSM312916	GSE12452
0.003924	GSM431130	GSE17183	0.012820	GSM559633	GSE22544,GSE22840	0.003396	GSM788303	GSE31773
0.003896	GSM679249	GSE27489,GSE27554	0.012773	GSM900673	GSE36771,GSE36774	0.003374	GSM997853	GSE40611
0.003321	GSM350588	GSE14001	0.012247	GSM747517	GSE30201	0.003272	GSM431155	GSE17183
0.003066	GSM592507	GSE16716,GSE24080	0.012201	GSM1159781	GSE47796	0.002611	GSM80844	GSE3526
0.002987	GSM747517	GSE30201	0.012155	GSM304265	GSE12034	0.002609	GSM595797	GSE24223
0.002911	GSM1098149	GSE45153	0.012058	GSM491187	GSE19615	0.002507	GSM176025	GSE7307
0.002833	GSM967808	GSE39411	0.011457	GSM587200	GSE23806	0.002423	GSM175953	GSE7307
0.002294	GSM441060	GSE17674,GSE17679	0.010867	GSM125008	GSE5460	0.002246	GSM176019	GSE7307
0.002110	GSM798180	GSE32215	0.010521	GSM350588	GSE14001	0.002157	GSM176047	GSE7307
0.001724	GSM215808	GSE8717	0.010445	GSM924979	GSE37645	0.002004	GSM949392	GSE38780
0.001674	GSM376379	GSE15061	0.010040	GSM1176899	GSE48390,GSE48391	0.001834	GSM417985	GSE16655,GSE16677
0.001508	GSM267330	GSE10609	0.009986	GSM491213	GSE19615	0.001363	GSM194587	GSE7513
0.001319	GSM657754	GSE26713	0.009610	GSM125037	GSE5460	0.001349	GSM194616	GSE7513
0.001306	GSM194431	GSE7904	0.009057	GSM277688	GSE2109	0.001096	GSM705433	GSE28491,GSE28492
0.001149	GSM798240	GSE32215	0.008403	GSM125094	GSE5460	0.001062	GSM595789	GSE24223
0.001066	GSM267353	GSE10609	0.008364	GSM331322	GSE13159,GSE13204	0.000557	GSM595835	GSE24223
0.001063	GSM80706	GSE3526	0.008256	GSM573427	GSE23376	0.000483	GSM747520	GSE30201
0.000875	GSM880323	GSE36059	0.007988	GSM278181	GSE11001	0.000477	GSM471985	GSE19067
0.000649	GSM125090	GSE5460	0.007783	GSM114531	GSE5081	0.000210	GSM873464	GSE35683
0.000587	GSM215815	GSE8717	0.007754	GSM1212087	GSE50006	0.000030	GSM158480	GSE6872,GSE6969
0.000532	GSM85498	GSE3744	0.007653	GSM194593	GSE7513	-0.000000	GSM404091	GSE16134
0.000469	GSM125077	GSE5460	0.007638	GSM491224	GSE19615	-0.000000	GSM404254	GSE16134
0.000454	GSM590687	GSE23980	0.007379	GSM540266	GSE21653	-0.000000	GSM404186	GSE16134
0.000440	GSM431143	GSE17183	0.007351	GSM197199	GSE7967	-0.000000	GSM404302	GSE16134
0.000426	GSM80796	GSE3526	0.007036	GSM232204	GSE9195	-0.000000	GSM404054	GSE16134
0.000425	GSM342839	GSE13070	0.007014	GSM986546	GSE40160	-0.000000	GSM404098	GSE16134
